date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:06:00	8644/8644	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20May%202020%2013:48:07%20GMT	https://preview.colorlib.com/theme/unfold/portfolio-single-1.html	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/portfolio-single-1.html	(from https://preview.colorlib.com/theme/unfold/)
17:06:00	42607/42607	---M--	200	added ('OK')	image/jpeg	etag:%22a66f-5a5c430a75900%22	https://preview.colorlib.com/theme/unfold/images/work_1_md.jpg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/work_1_md.jpg	(from https://preview.colorlib.com/theme/unfold/)
17:06:02	8426/8426	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20May%202020%2013:48:11%20GMT	https://preview.colorlib.com/theme/unfold/portfolio-single-3.html	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/portfolio-single-3.html	(from https://preview.colorlib.com/theme/unfold/)
17:06:03	120512/120512	---M--	200	added ('OK')	image/jpeg	etag:%221d6c0-5a5c430e46200%22	https://preview.colorlib.com/theme/unfold/images/work_2_md.jpg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/work_2_md.jpg	(from https://preview.colorlib.com/theme/unfold/)
17:06:04	8305/8305	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20May%202020%2013:48:11%20GMT	https://preview.colorlib.com/theme/unfold/portfolio-single-4.html	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/portfolio-single-4.html	(from https://preview.colorlib.com/theme/unfold/)
17:06:05	96321/96321	---M--	200	added ('OK')	image/jpeg	etag:%2217841-5a5c4311228c0%22	https://preview.colorlib.com/theme/unfold/images/work_3_md.jpg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/work_3_md.jpg	(from https://preview.colorlib.com/theme/unfold/)
17:06:05	35743/35743	---M--	200	added ('OK')	image/jpeg	etag:%228b9f-5a5c4311228c0%22	https://preview.colorlib.com/theme/unfold/images/work_4_full.jpg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/work_4_full.jpg	(from https://preview.colorlib.com/theme/unfold/)
17:06:07	57517/57517	---M--	200	added ('OK')	image/jpeg	etag:%22e0ad-5a5c431216b00%22	https://preview.colorlib.com/theme/unfold/images/work_5_md.jpg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/work_5_md.jpg	(from https://preview.colorlib.com/theme/unfold/)
17:06:08	10583/10583	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20May%202020%2013:48:07%20GMT	https://preview.colorlib.com/theme/unfold/portfolio-single-2.html	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/portfolio-single-2.html	(from https://preview.colorlib.com/theme/unfold/)
17:06:08	113649/113649	---M--	200	added ('OK')	image/jpeg	etag:%221bbf1-5a5c431216b00%22	https://preview.colorlib.com/theme/unfold/images/work_6_md.jpg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/work_6_md.jpg	(from https://preview.colorlib.com/theme/unfold/)
17:06:09	52117/52117	---M--	200	added ('OK')	image/jpeg	etag:%22cb95-5a5c43130ad40%22	https://preview.colorlib.com/theme/unfold/images/work_7_a_md.jpg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/work_7_a_md.jpg	(from https://preview.colorlib.com/theme/unfold/)
17:06:11	172647/172647	---M--	200	added ('OK')	image/jpeg	etag:%222a267-5a5c4313fef80%22	https://preview.colorlib.com/theme/unfold/images/work_8_md.jpg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/work_8_md.jpg	(from https://preview.colorlib.com/theme/unfold/)
17:06:12	136013/136013	---M--	200	added ('OK')	image/jpeg	etag:%222134d-5a5c4315e7400%22	https://preview.colorlib.com/theme/unfold/images/work_9_a_md.jpg	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/work_9_a_md.jpg	(from https://preview.colorlib.com/theme/unfold/)
17:06:12	2099/2099	---M--	200	added ('OK')	image/png	etag:%22833-5a5c42f57a780%22	https://preview.colorlib.com/theme/unfold/images/logo-google.png	/home/csec-astu/Desktop/portfolio/unfold/preview.colorlib.com/theme/unfold/images/logo-google.png	(from https://preview.colorlib.com/theme/unfold/)
